 MODEL, SCENARIO , REGION , VARIABLE , UNIT ,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100 
 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|BC , Mt BC/yr ,9.72742444367411,7.82434893556412,4.43422818038214,3.54565963046994,2.79752790820327,2.51883435529304,2.37029666248542,2.24371558015873,2.17740298322687,2.07458111817548 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|BC|Agricultural Waste Burning , Mt BC/yr ,0.1873268320865,0.203476865230697,0.238428550107371,0.265105947188568,0.278567484300416,0.271034747423904,0.269297316417846,0.266425463048623,0.258368430319468,0.245038835135661 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|BC|Aircraft , Mt BC/yr ,0.0106717338064691,0.0108070671957081,0.00697371203957397,0.00542174735777837,0.00414505488546025,0.00340560660758177,0.00319526196000556,0.00327378939908975,0.00339853813409971,0.00348438759892318 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|BC|Energy Sector , Mt BC/yr ,1.1905880476096,1.11312202104109,0.745364632964106,0.358471018828392,0.218381486544781,0.190932993509951,0.171273879474115,0.17433152162349,0.190155870338836,0.202514208972818 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|BC|Forest Burning , Mt BC/yr ,0.497394371364099,0.436653549046533,0.21336614160483,0.40892466200916,0.163756621483122,0.123478997882755,0.12351587303962,0.0952401428649628,0.106425566928881,0.0569531212937243 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|BC|Grassland Burning , Mt BC/yr ,1.0315692219632,1.03446259825427,0.98867621292981,0.914690269702859,0.933273753601381,0.931399117165544,0.910985845421332,0.864040635740282,0.809352059738883,0.78239854486718 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|BC|Industrial Sector , Mt BC/yr ,0.827215730709981,0.608805721423321,0.183525963319895,0.0723568441675411,0.0358961718497282,0.0229121927156567,0.0104704483756146,0.00569922214908835,0.00553970572097797,0.00464989844990486 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|BC|International Shipping , Mt BC/yr ,0.17054242237372,0.170311927115136,0.114252511165785,0.0706663404628714,0.024845755818483,0.0140440030995306,0.00445306303292759,0.0028863799571991,0.00302900505065918,0.0037943959236145 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|BC|Peat Burning , Mt BC/yr ,0.032135982579,0.032135982579,0.032135982579,0.032135982579,0.032135982579,0.032135982579,0.032135982579,0.032135982579,0.032135982579,0.032135982579 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|BC|Residential Commercial Other , Mt BC/yr ,3.6951622934636,2.23971348752242,0.723752044643204,0.440848609406623,0.287109605021309,0.200252712873127,0.143634924195035,0.102899791154984,0.0782107841087036,0.0590148180686464 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|BC|Transportation Sector , Mt BC/yr ,1.40767707821696,1.29771898665496,0.510611699527594,0.299897479266181,0.142275262618616,0.0520972719350208,0.024193338488956,0.0196419221410412,0.0136463108063945,0.00745619578503423 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|BC|Waste , Mt BC/yr ,0.677140729500971,0.677140729500971,0.677140729500971,0.677140729500971,0.677140729500971,0.677140729500971,0.677140729500971,0.677140729500971,0.677140729500971,0.677140729500971 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|C2F6 , kt C2F6/yr ,1.57,1.95231836025905,0.460542432698439,0.282622203262961,0.165671818271083,0.101293816997362,0.0659261121783705,0.0449985841280371,0.0273026505252894,0.022968899903134 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CF4 , kt CF4/yr ,10.87,12.4803816108694,4.1180587601534,3.16924756166016,2.30081961432149,1.85419491515603,1.6195364669104,1.4254879951477,1.17507004737854,0.988550782203674 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CH4 , Mt CH4/yr ,388.07279517027,358.907754704624,243.027020440338,200.612861931378,170.196861886999,157.558897231787,146.459703505757,132.247397297608,120.764306098986,111.721246089593 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CH4|Agricultural Waste Burning , Mt CH4/yr ,1.36741788784789,1.48874473273636,1.7421144031484,1.93636752627686,2.03557616727615,1.97608733759661,1.9588776278603,1.93333851041243,1.87307789435382,1.77516660067487 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CH4|Agriculture , Mt CH4/yr ,139.271799533091,133.494103062149,109.382245297634,91.6783894036598,76.3483192722247,72.4229885710185,68.8187704545142,65.3536220819087,61.848549130582,58.4224979632405 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CH4|Energy Sector , Mt CH4/yr ,154.680849710791,135.619815578398,63.0041075741604,44.4596871274161,33.0881679715721,26.9836124009112,22.2616013294755,14.7970649197316,8.34396686969445,4.6099387945062 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CH4|Forest Burning , Mt CH4/yr ,5.373028552617,4.88322079324957,2.49366687799905,4.08561498547685,1.8481506529749,1.40943742496697,1.33215149623472,1.01308641502853,1.02487754932182,0.537583984814931 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CH4|Grassland Burning , Mt CH4/yr ,5.71814111537889,5.73667746810204,5.48935463939261,5.0780986935247,5.17393953721249,5.15790621605804,5.04116254866197,4.78127449128603,4.4786393930979,4.32900317210902 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CH4|Industrial Sector , Mt CH4/yr ,0.889587571852397,0.925177073440938,0.800240014379421,0.770222651884217,0.753600735329166,0.707081962448978,0.613889572502933,0.530885368586541,0.473544411339575,0.406146351283668 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CH4|International Shipping , Mt CH4/yr ,0.0272759821327494,0.0272759821327494,0.0272759821327494,0.0272759821327494,0.0272759821327494,0.0272759821327494,0.0272759821327494,0.0272759821327494,0.0272759821327494,0.0272759821327494 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CH4|Peat Burning , Mt CH4/yr ,1.877432502294,1.877432502294,1.877432502294,1.877432502294,1.877432502294,1.877432502294,1.877432502294,1.877432502294,1.877432502294,1.877432502294 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CH4|Residential Commercial Other , Mt CH4/yr ,12.0028466973574,7.39721937497047,3.27681897148716,2.35561071600514,1.75739843986779,1.44837029189788,1.19768858826164,0.993878806993019,0.815258094703024,0.622518147696582 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CH4|Transportation Sector , Mt CH4/yr ,0.564243471558181,0.629747498673959,0.459605688109174,0.284459007694163,0.147016214214355,0.0720691040807127,0.0469507763141653,0.0539781760785183,0.0577067106190681,0.0528435003440285 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CH4|Waste , Mt CH4/yr ,66.3001721453482,66.8283406384764,54.4741584896007,48.0597033350137,47.1399844119007,45.4766354383813,43.2839026275046,40.8855600431561,39.943977560848,39.0608390904962 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CO , Mt CO/yr ,934.349884424172,794.367790585366,526.459260486477,515.611614701967,446.510358948625,415.535958339812,396.223685768706,374.055035996238,362.739211681511,346.141715868713 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CO2 , Mt CO2/yr ,39152.7262976191,39693.7264516875,22847.2709173939,10475.0888193786,2050.36155775864,-1525.97831742006,-4476.97014942136,-7308.78257887011,-10565.0228295996,-13889.7875467543 
