Entity,Code,Year,Annual CO2 emissions from oil,Annual CO2 emissions from flaring,Annual CO2 emissions from cement,Annual CO2 emissions from coal,Annual CO2 emissions from gas,Annual CO2 emissions from other industry
World,OWID_WRL,1855,36640,,,260129344,,
World,OWID_WRL,1856,40304,,,277251216,,
World,OWID_WRL,1857,51296,,,279838000,,
World,OWID_WRL,1858,62288,,,284109562,,
World,OWID_WRL,1859,54955,,,301257605,,
World,OWID_WRL,1860,273640,,,330368551,,
World,OWID_WRL,1861,941192,,,346794050,,
World,OWID_WRL,1862,1398836,,,352658626,,
World,OWID_WRL,1863,1293405,,,376566532,,
World,OWID_WRL,1864,1110374,,,405980734,,
World,OWID_WRL,1865,1320233,,,430987556,,
World,OWID_WRL,1866,1952415,,,444018184,,
World,OWID_WRL,1867,1985699,,,475829213,,
World,OWID_WRL,1868,2290049,,,488462447,,
World,OWID_WRL,1869,2615575,,,518515145,,
World,OWID_WRL,1870,3134375,,,529402377,,
World,OWID_WRL,1871,3283110,,,562859850,,
World,OWID_WRL,1872,3699385,,,622672407,,
World,OWID_WRL,1873,5671917,,,659747123,,
World,OWID_WRL,1874,6246580,,,616750668,,
World,OWID_WRL,1875,5840174,,,669958978,,
World,OWID_WRL,1876,6542820,,,679009900,,
World,OWID_WRL,1877,8831412,,,690267116,,
World,OWID_WRL,1878,10050135,,,694331594,,
World,OWID_WRL,1879,12669544,,,742199965,,
World,OWID_WRL,1880,15375695,,171,838331321,,
World,OWID_WRL,1881,17254324,,207,865152944,,
World,OWID_WRL,1882,18951905,,269,912807657,164880,
World,OWID_WRL,1883,16516233,,346,974138054,381051,
World,OWID_WRL,1884,18334449,,330,982670485,1172480,
World,OWID_WRL,1885,18970139,,343,986988793,3715296,
World,OWID_WRL,1886,21834997,,372,995967435,7676080,
World,OWID_WRL,1887,23490106,,553,1041483931,11787088,
World,OWID_WRL,1888,24588606,,537,1150913135,16773792,
World,OWID_WRL,1889,28417481,,578,1151159605,12226768,
World,OWID_WRL,1890,34660564,,661,1252114303,11688053,
World,OWID_WRL,1891,40838632,,679,1309092891,8947488,
World,OWID_WRL,1892,40214726,,724,1322104076,7775008,
World,OWID_WRL,1893,42556078,,661,1303830601,7287696,
World,OWID_WRL,1894,41715223,,691,1352450833,6697850,
World,OWID_WRL,1895,48546524,,721,1429691939,7042154,
World,OWID_WRL,1896,52580123,,786,1474282128,6847964,
World,OWID_WRL,1897,55541931,,908,1543480159,7287643,
World,OWID_WRL,1898,57184590,,1001,1628631400,8460176,
World,OWID_WRL,1899,60052103,,1282,1779948517,10904064,
World,OWID_WRL,1900,67329668,,1386,1873352000,11541600,
World,OWID_WRL,1901,74763057,,1656,1929135574,12860640,
World,OWID_WRL,1902,80822394,,2145,1973277042,13696032,
World,OWID_WRL,1903,85582211,,2533,2155964746,14527760,
World,OWID_WRL,1904,96111593,,2732,2168744227,15165234,
World,OWID_WRL,1905,97055165,,3491,2313422758,17169504,
World,OWID_WRL,1906,97936530,,4470,2432774211,19027152,
World,OWID_WRL,1907,119469540,,4601,2743876161,19877139,
World,OWID_WRL,1908,128813493,,115376,2625993292,19675680,
World,OWID_WRL,1909,134404887,,115604,2726692492,23522878,
World,OWID_WRL,1910,143890299,,135359,2856300807,24915200,
World,OWID_WRL,1911,152606020,,148032,2901716719,25717653,
World,OWID_WRL,1912,156835220,,176655,3040657684,28315392,
World,OWID_WRL,1913,181664432,,202674,3278525801,29597792,
World,OWID_WRL,1914,185655142,,146584,2950129320,30136463,
World,OWID_WRL,1915,197157563,,160254,2893484425,31865750,
World,OWID_WRL,1916,214688969,,181265,3117193075,38376810,
World,OWID_WRL,1917,238863331,,148203,3245711120,40509124,
World,OWID_WRL,1918,244624859,,119547,3195794933,36519090,
World,OWID_WRL,1919,272971226,,124700,2701629743,37948035,
World,OWID_WRL,1920,350960543,,148844,3112455656,41685394,
World,OWID_WRL,1921,384269108,,129526,2654960471,34992067,
World,OWID_WRL,1922,426358131,,192706,2757366894,40106756,
World,OWID_WRL,1923,473540353,,207881,3132092617,52525941,
World,OWID_WRL,1924,470835771,,215951,3138926125,59707555,
World,OWID_WRL,1925,492806670,,14341240,3138718829,63920274,
World,OWID_WRL,1926,490690153,,14651099,3067699555,69142085,
World,OWID_WRL,1927,537870433,,15355300,3349258707,76014443,
World,OWID_WRL,1928,549606916,,35521484,3291869503,82620625,
World,OWID_WRL,1929,602842621,,36780462,3509775811,102891182,
World,OWID_WRL,1930,578645200,,35473151,3202446125,104220017,
World,OWID_WRL,1931,560804379,,30864589,2818888567,92880768,
World,OWID_WRL,1932,536688914,,24680381,2508233248,88210567,
World,OWID_WRL,1933,586516296,,23831321,2623658235,90907579,
World,OWID_WRL,1934,620579504,,28499456,2865026800,101938085,
World,OWID_WRL,1935,668986597,,32049002,2981713282,111359005,
World,OWID_WRL,1936,729371730,,38701338,3274492999,125513718,
World,OWID_WRL,1937,821758094,,40765565,3453105615,140558110,
World,OWID_WRL,1938,797244334,,38493675,3221827593,135476656,
World,OWID_WRL,1939,830500779,,35620339,3427850823,141311396,
World,OWID_WRL,1940,872809155,,31359543,3789036452,153493995,
World,OWID_WRL,1941,880973888,,43203693,3877511176,153463220,
World,OWID_WRL,1942,835748088,,38277342,3895616237,166048943,
World,OWID_WRL,1943,888078027,,34735681,3913209387,182899895,
World,OWID_WRL,1944,1018274624,,22614520,3862619053,197600826,
World,OWID_WRL,1945,1008623792,,22935004,2992538614,216679782,
World,OWID_WRL,1946,1140208878,,36240218,3229253136,223814151,
World,OWID_WRL,1947,1221684131,,43089499,3612999799,247864300,
World,OWID_WRL,1948,1339993790,,51570953,3724614242,280095394,
World,OWID_WRL,1949,1337079915,,58148146,3543268913,300425010,
World,OWID_WRL,1950,1648791183,73624416,66855153,3855859103,353120535,
World,OWID_WRL,1951,1742875458,79875260,75703654,4059651860,416148459,
World,OWID_WRL,1952,1838574177,85363804,80703664,4008654195,447043842,
World,OWID_WRL,1953,1952671664,81348030,89482869,4043288487,474481964,
World,OWID_WRL,1954,2069160472,77612011,97082533,4039060204,501299974,
World,OWID_WRL,1955,2312550563,96835843,107402335,4372277508,547172568,
World,OWID_WRL,1956,2508770458,108173769,116449611,4596625428,587149682,
